entry_id,entry_date,application,task_description,total_seconds,status,notes,source_hash,matter_code,created_at,updated_at
10994,2025-07-26,microsoft outlook,Inbox • andrew@adlvlaw.com.au,1723,pending,,5b120b8c8bf090e19bba784d121736d8,,,
10935,2025-07-26,Cursor,main.py,1418,pending,,cbf173398ac783e07e8a0b5c064245e2,,,
10907,2025-07-26,Cursor,STARTUP_SCRIPTS.md,931,pending,,b2cc049de545f52c6fff8a550d2cb658,,,
10934,2025-07-26,Cursor,kb_search_api,414,pending,,08e861f4ac75a53d1a7b0b004f4d45f1,,,
10905,2025-07-26,Cursor,README.md,408,pending,,b34932a9a72f44381d29b743bc2688ed,,,
10984,2025-07-26,lastpass.com,My LastPass Vault,381,pending,,fc5c3bfa549356d4f344de3e56041ef8,,,
10943,2025-07-26,Cursor,simple_scoring_analysis.py,367,pending,,f8fffbeb598b35672cfd1c614eb3f217,,,
10918,2025-07-26,Cursor,database_functions.md,332,pending,,88717cc4f142cd2fc51594830a5354a3,,,
10998,2025-07-26,microsoft outlook,"Searching ""andrew@adlvlaw.com.au""",279,pending,,f0fcf5daf672d5655020cbe1650124ff,,,
10919,2025-07-26,Cursor,deployment_guide.md,271,pending,,7d2482d3f75cef9a30d6d02acd77587d,,,
10928,2025-07-26,Cursor,fix_column_ambiguity.sql — kb_search_api,235,pending,,be18705006e9f647c9ab711f72a44a8a,,,
10941,2025-07-26,Cursor,score_normalized_functions.sql — kb_search_api,225,pending,,48996ece62a0803f0dc6147e2ce96022,,,
10914,2025-07-26,Cursor,doppler run -- python main.py,222,pending,,40ce0d3abf6ef6244897f93a7fb7058c,,,
11002,2025-07-26,youtube.com,17 SPY GADGETS THAT ARE AT ANOTHER LEVEL - YouTube - Audio playing,214,pending,,d753c2c76037bf19980be64e3d6ddcff,,,
10932,2025-07-26,Cursor,investigate_scoring.py,212,pending,,9cbaa1a6ff86a905518d1b15f124bb10,,,
10900,2025-07-26,Cursor,./start_services.sh local — kb_search_api,209,pending,,7aaaa258ebd4d503feb92e8b0aa275e0,,,
10930,2025-07-26,Cursor,install_requirements.sh — kb_search_api,195,pending,,440c8161a0b8df676364a0760920cb8e,,,
10926,2025-07-26,Cursor,enhanced_fuzzy_functions_corrected.sql — kb_search_api,187,pending,,7e11e15674e48618cb4c7ba4ab20a497,,,
11005,2025-07-26,youtube.com,Mini Wrist Band Voice Activated Recorder - Review - YouTube - Audio playing,156,pending,,37bed08a9a09356bcafab40b3a0af300,,,
10933,2025-07-26,Cursor,jobs.py,144,pending,,0d03ac96d735879f921f623b850943d0,,,
10938,2025-07-26,Cursor,python main.py,144,pending,,7bd8eb3457b68428087b9585da16fbe3,,,
10899,2025-07-26,Cursor,./start_services.sh docker-doppler — kb_search_api,131,pending,,61a494be8fd3285ce166f80ead55821f,,,
10993,2025-07-26,linkedin.com,Security Verification | LinkedIn,129,pending,,0d772e7ee250abc8fb3eb2288fde6d36,,,
10981,2025-07-26,hdokiejnpimakedhajhdlcegeplioahd,edit.html,112,pending,,f4cd758a7b3a34b6026f1e587a7ec0d9,,,
10915,2025-07-26,Cursor,check_extensions.py,107,pending,,2e10b3ffaaadd0199087ec7a6ae4da94,,,
10942,2025-07-26,Cursor,setup.sh — rescuetime,105,pending,,4dbc0918eace3e36eb2abdb909dd8e5b,,,
10903,2025-07-26,Cursor,ENVIRONMENT_SETUP.md,104,pending,,5a4aeaedf4088697587d73ffc2c0deac,,,
10946,2025-07-26,Cursor,test_enhanced_fuzzy.py,97,pending,,b4adcadcb4e1f8e499850246ec1666fe,,,
10948,2025-07-26,Cursor,test_score_normalization.py,96,pending,,4290ff69e95501dac75eed36dbd4af80,,,
10990,2025-07-26,linkedin.com,LinkedIn App Challenge,96,pending,,f6dc7ab3439405fd12755499e8847e86,,,
10925,2025-07-26,Cursor,enhanced_fuzzy_functions.sql — kb_search_api,94,pending,,d312500cac09a4d35ee5969193cf98ed,,,
10929,2025-07-26,Cursor,get_db_functions.py,86,pending,,4762b1d61a60e46c9071db3f245270a3,,,
10901,2025-07-26,Cursor,./start_with_doppler.sh — kb_search_api,78,pending,,7d71bb0ae4254a888534c713612db53d,,,
10980,2025-07-26,google.com,wristband recorder - Google Search,76,pending,,4b3e340f13b91fe2b88c067194b8171d,,,
10931,2025-07-26,Cursor,investigate_schema.py,53,pending,,12fb5e90cb0b659cdf8b90372f83322f,,,
10956,2025-07-26,Preview,Vendor Execution Page copy – 1 page,52,pending,,aac23d42e21ce1441c1fdb9277fac150,,,
10997,2025-07-26,microsoft outlook,Rumors of Google's Demise... (This Week in Stratechery) - Inbox • andrew@adlvlaw.com.au,48,pending,,3357fb1c72e2e01e2193124db0cc8d28,,,
10920,2025-07-26,Cursor,design-and-implementation.md,46,pending,,0b980ebc09bb1db7853d5406c070b855,,,
10970,2025-07-26,google.com,does bee wristband require a subscription - Google Search,46,pending,,7217ca57c3b14ecf3242a9b9ecf017b1,,,
10917,2025-07-26,Cursor,create_venv.sh — kb_search_api,43,pending,,60eb75d58caf9a8cc89418235573d63c,,,
10999,2025-07-26,microsoft word,Quote 146-25 Hereford Street Glebe,42,pending,,3bd63d8e0e9cb69d00acc3e7119a4431,,,
10913,2025-07-26,Cursor,cd .. && ./start_services.sh local — kb_search_api,38,pending,,2c70f062b2a6149a94f2624e245c428a,,,
10927,2025-07-26,Cursor,fetcher.py,37,pending,,11f662ff7a2d244919a42290293a40be,,,
10961,2025-07-26,Preview,img-giovane-nucci.webp,37,pending,,dc25dd2a61432b791bf9e61df0e0b581,,,
